Step 0:    (2022-05-08 19:08:00.686273)
Step 40:    (2022-05-08 20:06:20.686743)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.892806218684605 examples per second
Step 41:    (2022-05-08 20:07:48.573768)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
    57.439375202403795 examples per second
Step 42:    (2022-05-08 20:09:16.423807)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.46181507901759 examples per second
Step 43:    (2022-05-08 20:10:44.947977)
    training nat accuracy 16.0%
    training adv accuracy 16.0%
    57.02258605242839 examples per second
Step 44:    (2022-05-08 20:12:13.035436)
    training nat accuracy 16.0%
    training adv accuracy 20.0%
    57.30962924229353 examples per second
Step 45:    (2022-05-08 20:13:40.497148)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.72231040452215 examples per second
Step 46:    (2022-05-08 20:15:07.831924)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.80376298226139 examples per second
Step 47:    (2022-05-08 20:16:35.354961)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.68168176476571 examples per second
Step 48:    (2022-05-08 20:18:02.845704)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.707103311254215 examples per second
Step 49:    (2022-05-08 20:19:30.880457)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.346437082804414 examples per second
Step 50:    (2022-05-08 20:20:58.200422)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.81680032460676 examples per second
Step 51:    (2022-05-08 20:22:25.363650)
    training nat accuracy 16.0%
    training adv accuracy 18.0%
    57.92116338633841 examples per second
Step 52:    (2022-05-08 20:23:52.970525)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.62764580014701 examples per second
Step 53:    (2022-05-08 20:25:19.865205)
    training nat accuracy 16.0%
    training adv accuracy 16.0%
    58.09859556374887 examples per second
Step 54:    (2022-05-08 20:26:47.819411)
    training nat accuracy 16.0%
    training adv accuracy 18.0%
    57.39485612857768 examples per second
Step 55:    (2022-05-08 20:28:15.910697)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.30504433943578 examples per second
Step 56:    (2022-05-08 20:29:42.922282)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    58.02328137183094 examples per second
Step 57:    (2022-05-08 20:31:10.519560)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.63420470422574 examples per second
Step 58:    (2022-05-08 20:32:38.052017)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.67671062872792 examples per second
Step 59:    (2022-05-08 20:34:05.840353)
    training nat accuracy 16.0%
    training adv accuracy 14.0%
    57.50856734023988 examples per second
Step 60:    (2022-05-08 20:35:33.536610)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.568189882068154 examples per second
Step 61:    (2022-05-08 20:37:01.422691)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.43772209394296 examples per second
Step 62:    (2022-05-08 20:38:28.700745)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.840363740904 examples per second
Step 63:    (2022-05-08 20:39:57.119846)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.09070829834413 examples per second
Step 64:    (2022-05-08 20:41:25.200706)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
    57.312488762338674 examples per second
Step 65:    (2022-05-08 20:42:52.595399)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
    57.76751710796384 examples per second
Step 66:    (2022-05-08 20:44:19.830299)
    training nat accuracy 16.0%
    training adv accuracy 2.0%
    57.873129893031454 examples per second
Step 67:    (2022-05-08 20:45:46.813810)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
    58.04156246460637 examples per second
Step 68:    (2022-05-08 20:47:14.729796)
    training nat accuracy 16.0%
    training adv accuracy 2.0%
    57.42229902269653 examples per second
Step 69:    (2022-05-08 20:48:42.895797)
    training nat accuracy 16.0%
    training adv accuracy 18.0%
    57.256932241443955 examples per second
Step 70:    (2022-05-08 20:50:10.435904)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.67619045192453 examples per second
Step 71:    (2022-05-08 20:51:38.422996)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.37518424072554 examples per second
Step 72:    (2022-05-08 20:53:06.268499)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.47108400168983 examples per second
Step 73:    (2022-05-08 20:54:34.028812)
    training nat accuracy 16.0%
    training adv accuracy 18.0%
    57.52483013296157 examples per second
Step 74:    (2022-05-08 20:56:01.847561)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.482741940216755 examples per second
Step 75:    (2022-05-08 20:57:29.852857)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.363778115894576 examples per second
Step 76:    (2022-05-08 20:58:57.642015)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.50830448638293 examples per second
Step 77:    (2022-05-08 21:00:25.516385)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.44903960009856 examples per second
Step 78:    (2022-05-08 21:01:53.959087)
    training nat accuracy 16.0%
    training adv accuracy 18.0%
    57.077536735630304 examples per second
Step 79:    (2022-05-08 21:03:21.109422)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.93212582377664 examples per second
Step 80:    (2022-05-08 21:04:48.722224)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.62284940950771 examples per second
Step 81:    (2022-05-08 21:06:16.394514)
    training nat accuracy 16.0%
    training adv accuracy 16.0%
    57.5796138807849 examples per second
Step 82:    (2022-05-08 21:07:44.197388)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
    57.498844226022065 examples per second
Step 83:    (2022-05-08 21:09:11.639805)
    training nat accuracy 16.0%
    training adv accuracy 16.0%
    57.73388269822552 examples per second
Step 84:    (2022-05-08 21:10:39.163680)
    training nat accuracy 16.0%
    training adv accuracy 16.0%
    57.68451573060344 examples per second
Step 85:    (2022-05-08 21:12:07.534930)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    57.124205715753995 examples per second
Step 86:    (2022-05-08 21:13:35.252216)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
    57.550020688033015 examples per second
Step 87:    (2022-05-08 21:15:02.939286)
    training nat accuracy 16.0%
    training adv accuracy 14.0%
    57.57447827819439 examples per second
Step 88:    (2022-05-08 21:16:30.894913)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
    57.395764432704446 examples per second
Step 89:    (2022-05-08 21:17:58.383831)
    training nat accuracy 16.0%
    training adv accuracy 16.0%
    57.70720920741961 examples per second
Step 90:    (2022-05-08 21:19:26.162080)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.513043576669084 examples per second
Step 91:    (2022-05-08 21:20:54.232107)
    training nat accuracy 16.0%
    training adv accuracy 14.0%
    57.319561465788674 examples per second
Step 92:    (2022-05-08 21:22:21.565731)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
    57.80385509898888 examples per second
Step 93:    (2022-05-08 21:23:49.590260)
    training nat accuracy 16.0%
    training adv accuracy 12.0%
    57.34945153997024 examples per second
Step 94:    (2022-05-08 21:25:17.960992)
    training nat accuracy 16.0%
    training adv accuracy 4.0%
    57.132070520944026 examples per second
Step 95:    (2022-05-08 21:26:45.910687)
    training nat accuracy 16.0%
    training adv accuracy 8.0%
    57.400329427796294 examples per second
Step 96:    (2022-05-08 21:28:13.254947)
    training nat accuracy 16.0%
    training adv accuracy 10.0%
    57.80217818194721 examples per second
Step 97:    (2022-05-08 21:29:42.099763)
    training nat accuracy 16.0%
    training adv accuracy 6.0%
    56.82098738165967 examples per second
Step 98:    (2022-05-08 21:31:10.821738)
    training nat accuracy 16.0%
    training adv accuracy 4.0%
    56.89609579150534 examples per second
Step 99:    (2022-05-08 21:32:38.794222)
    training nat accuracy 16.0%
    training adv accuracy 16.0%
    57.38834779326132 examples per second
Step 100:    (2022-05-08 21:34:06.351256)
    training nat accuracy 8.0%
    training adv accuracy 8.0%
    57.67199623597148 examples per second
Step 101:    (2022-05-08 21:35:34.025059)
    training nat accuracy 8.0%
    training adv accuracy 8.0%
    57.58676132095543 examples per second
Step 102:    (2022-05-08 21:37:01.712998)
    training nat accuracy 8.0%
    training adv accuracy 16.0%
    57.57131741525465 examples per second
Step 103:    (2022-05-08 21:38:29.630541)
    training nat accuracy 8.0%
    training adv accuracy 10.0%
    57.42348269725594 examples per second
Step 104:    (2022-05-08 21:39:57.783341)
    training nat accuracy 8.0%
    training adv accuracy 14.0%
    57.27155764769865 examples per second
Step 105:    (2022-05-08 21:41:26.603988)
    training nat accuracy 8.0%
    training adv accuracy 10.0%
    56.839805745215884 examples per second
Step 106:    (2022-05-08 21:42:54.686882)
    training nat accuracy 8.0%
    training adv accuracy 4.0%
    57.309014603321614 examples per second
Step 107:    (2022-05-08 21:44:23.068438)
    training nat accuracy 8.0%
    training adv accuracy 14.0%
    57.11681045337511 examples per second
Step 108:    (2022-05-08 21:45:51.005154)
    training nat accuracy 8.0%
    training adv accuracy 4.0%
    57.41201034290095 examples per second
Step 109:    (2022-05-08 21:47:18.984850)
    training nat accuracy 8.0%
    training adv accuracy 16.0%
    57.378290439962036 examples per second
Step 110:    (2022-05-08 21:48:47.446453)
    training nat accuracy 8.0%
    training adv accuracy 6.0%
    57.06398815939665 examples per second
Step 111:    (2022-05-08 21:50:16.528808)
    training nat accuracy 8.0%
    training adv accuracy 18.0%
    56.66582722923724 examples per second
Step 112:    (2022-05-08 21:51:44.483377)
    training nat accuracy 8.0%
    training adv accuracy 8.0%
    57.3913999770847 examples per second
Step 113:    (2022-05-08 21:53:12.245236)
    training nat accuracy 8.0%
    training adv accuracy 14.0%
    57.52362094541244 examples per second
Step 114:    (2022-05-08 21:54:40.215053)
    training nat accuracy 8.0%
    training adv accuracy 4.0%
    57.38515622212521 examples per second
Step 115:    (2022-05-08 21:56:08.015296)
    training nat accuracy 8.0%
    training adv accuracy 6.0%
    57.49327116154136 examples per second
Step 116:    (2022-05-08 21:57:35.835874)
    training nat accuracy 8.0%
    training adv accuracy 6.0%
    57.4860362738047 examples per second
Step 117:    (2022-05-08 21:59:03.668597)
    training nat accuracy 8.0%
    training adv accuracy 10.0%
    57.476018225923674 examples per second
Step 118:    (2022-05-08 22:00:31.065015)
    training nat accuracy 8.0%
    training adv accuracy 6.0%
    57.76589715151641 examples per second
Step 119:    (2022-05-08 22:01:58.183289)
    training nat accuracy 8.0%
    training adv accuracy 8.0%
    57.951815267998526 examples per second
Step 120:    (2022-05-08 22:03:27.177944)
    training nat accuracy 8.0%
    training adv accuracy 12.0%
    56.72730232997993 examples per second
Step 121:    (2022-05-08 22:04:54.795769)
    training nat accuracy 8.0%
    training adv accuracy 10.0%
    57.61560268407066 examples per second
Step 122:    (2022-05-08 22:06:22.315477)
    training nat accuracy 8.0%
    training adv accuracy 6.0%
    57.683854679320454 examples per second
Step 123:    (2022-05-08 22:07:50.324486)
    training nat accuracy 8.0%
    training adv accuracy 14.0%
    57.36203988274567 examples per second
Step 124:    (2022-05-08 22:09:18.024328)
    training nat accuracy 8.0%
    training adv accuracy 8.0%
    57.567029687378486 examples per second
Step 125:    (2022-05-08 22:10:46.121989)
    training nat accuracy 8.0%
    training adv accuracy 14.0%
    57.3020267166433 examples per second
Step 126:    (2022-05-08 22:12:13.447914)
    training nat accuracy 8.0%
    training adv accuracy 14.0%
    57.81259029504025 examples per second
Step 127:    (2022-05-08 22:13:41.448659)
    training nat accuracy 8.0%
    training adv accuracy 10.0%
    57.36310269573015 examples per second
Step 128:    (2022-05-08 22:15:09.051134)
    training nat accuracy 8.0%
    training adv accuracy 18.0%
    57.626663572529225 examples per second
Step 129:    (2022-05-08 22:16:36.994585)
    training nat accuracy 8.0%
    training adv accuracy 12.0%
    57.40368241410998 examples per second
Step 130:    (2022-05-08 22:18:05.219915)
    training nat accuracy 8.0%
    training adv accuracy 10.0%
    57.219149192590336 examples per second
Step 131:    (2022-05-08 22:19:32.967860)
    training nat accuracy 8.0%
    training adv accuracy 10.0%
    57.53131111950567 examples per second
Step 132:    (2022-05-08 22:21:00.946451)
    training nat accuracy 8.0%
    training adv accuracy 6.0%
    57.376502720007316 examples per second
Step 133:    (2022-05-08 22:22:28.441708)
    training nat accuracy 8.0%
    training adv accuracy 24.0%
    57.69829588457599 examples per second
Step 134:    (2022-05-08 22:23:56.551629)
    training nat accuracy 8.0%
    training adv accuracy 12.0%
    57.29384564863545 examples per second
Step 135:    (2022-05-08 22:25:23.824224)
    training nat accuracy 8.0%
    training adv accuracy 6.0%
    57.846682754455806 examples per second
Step 136:    (2022-05-08 22:26:51.260747)
    training nat accuracy 8.0%
    training adv accuracy 4.0%
    57.73572292053538 examples per second
Step 137:    (2022-05-08 22:28:18.836906)
    training nat accuracy 8.0%
    training adv accuracy 18.0%
    57.648528691321964 examples per second
Step 138:    (2022-05-08 22:29:46.574087)
    training nat accuracy 8.0%
    training adv accuracy 8.0%
    57.53553484829735 examples per second
Step 139:    (2022-05-08 22:31:13.963201)
    training nat accuracy 8.0%
    training adv accuracy 16.0%
    57.774100971547405 examples per second
Step 140:    (2022-05-08 22:32:41.410013)
    training nat accuracy 8.0%
    training adv accuracy 14.0%
    57.72751611200074 examples per second
Step 141:    (2022-05-08 22:34:09.075208)
    training nat accuracy 8.0%
    training adv accuracy 8.0%
    57.587296983594676 examples per second
Step 142:    (2022-05-08 22:35:36.673578)
    training nat accuracy 8.0%
    training adv accuracy 20.0%
    57.63138837881878 examples per second
Step 143:    (2022-05-08 22:37:04.517648)
    training nat accuracy 8.0%
    training adv accuracy 8.0%
    57.465361631451444 examples per second
Step 144:    (2022-05-08 22:38:33.027256)
    training nat accuracy 8.0%
    training adv accuracy 10.0%
    57.032529091100145 examples per second
^CTraceback (most recent call last):
  File "train_avg.py", line 94, in <module>
    x_batch_adv = attack.perturb(x_batch, y_batch, sess)
  File "/home/h2amer/work/workspace/min-max/mnist_challenge/pgd_attack.py", line 59, in perturb
    x = np.clip(x, 0, 1) # ensure valid pixel range
  File "<__array_function__ internals>", line 6, in clip
  File "/home/h2amer/work/workspace/min-max/minmax_env/lib/python3.7/site-packages/numpy/core/fromnumeric.py", line 2115, in clip
    return _wrapfunc(a, 'clip', a_min, a_max, out=out, **kwargs)
  File "/home/h2amer/work/workspace/min-max/minmax_env/lib/python3.7/site-packages/numpy/core/fromnumeric.py", line 57, in _wrapfunc
    return bound(*args, **kwds)
  File "/home/h2amer/work/workspace/min-max/minmax_env/lib/python3.7/site-packages/numpy/core/_methods.py", line 160, in _clip
    um.clip, a, min, max, out=out, casting=casting, **kwargs)
  File "/home/h2amer/work/workspace/min-max/minmax_env/lib/python3.7/site-packages/numpy/core/_methods.py", line 113, in _clip_dep_invoke_with_casting
    return ufunc(*args, out=out, **kwargs)
KeyboardInterrupt
(minmax_env) h2amer@muliticom-pc52:~/work/workspace/min-max/mnist_challenge$ python train.py 
WARNING:tensorflow:From train.py:24: The name tf.set_random_seed is deprecated. Please use tf.compat.v1.set_random_seed instead.

WARNING:tensorflow:From train.py:34: read_data_sets (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Instructions for updating:
Please use alternatives such as official/mnist/dataset.py from tensorflow/models.
WARNING:tensorflow:From /home/h2amer/work/workspace/min-max/minmax_env/lib/python3.7/site-packages/tensorflow_core/contrib/learn/python/learn/datasets/mnist.py:260: maybe_download (from tensorflow.contrib.learn.python.learn.datasets.base) is deprecated and will be removed in a future version.
Instructions for updating:
Please write your own downloading logic.
WARNING:tensorflow:From /home/h2amer/work/workspace/min-max/minmax_env/lib/python3.7/site-packages/tensorflow_core/contrib/learn/python/learn/datasets/mnist.py:262: extract_images (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tf.data to implement this functionality.
Extracting MNIST_data/train-images-idx3-ubyte.gz
WARNING:tensorflow:From /home/h2amer/work/workspace/min-max/minmax_env/lib/python3.7/site-packages/tensorflow_core/contrib/learn/python/learn/datasets/mnist.py:267: extract_labels (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tf.data to implement this functionality.
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
WARNING:tensorflow:From /home/h2amer/work/workspace/min-max/minmax_env/lib/python3.7/site-packages/tensorflow_core/contrib/learn/python/learn/datasets/mnist.py:290: DataSet.__init__ (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Instructions for updating:
Please use alternatives such as official/mnist/dataset.py from tensorflow/models.
WARNING:tensorflow:
The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
  * https://github.com/tensorflow/io (for I/O related ops)
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From train.py:35: get_or_create_global_step (from tensorflow.contrib.framework.python.ops.variables) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.get_or_create_global_step
WARNING:tensorflow:From /home/h2amer/work/workspace/min-max/mnist_challenge/model.py:13: The name tf.placeholder is deprecated. Please use tf.compat.v1.placeholder instead.

WARNING:tensorflow:From /home/h2amer/work/workspace/min-max/mnist_challenge/model.py:59: The name tf.truncated_normal is deprecated. Please use tf.random.truncated_normal instead.

WARNING:tensorflow:From /home/h2amer/work/workspace/min-max/mnist_challenge/model.py:73: The name tf.nn.max_pool is deprecated. Please use tf.nn.max_pool2d instead.

WARNING:tensorflow:From train.py:39: The name tf.train.AdamOptimizer is deprecated. Please use tf.compat.v1.train.AdamOptimizer instead.

WARNING:tensorflow:From train.py:61: The name tf.train.Saver is deprecated. Please use tf.compat.v1.train.Saver instead.

WARNING:tensorflow:From train.py:62: The name tf.summary.scalar is deprecated. Please use tf.compat.v1.summary.scalar instead.

WARNING:tensorflow:From train.py:66: The name tf.summary.image is deprecated. Please use tf.compat.v1.summary.image instead.

WARNING:tensorflow:From train.py:67: The name tf.summary.merge_all is deprecated. Please use tf.compat.v1.summary.merge_all instead.

WARNING:tensorflow:From train.py:71: The name tf.Session is deprecated. Please use tf.compat.v1.Session instead.

2022-05-08 22:40:14.636584: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcuda.so.1
2022-05-08 22:40:14.696979: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1618] Found device 0 with properties: 
name: NVIDIA GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:17:00.0
2022-05-08 22:40:14.697433: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1618] Found device 1 with properties: 
name: NVIDIA GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:65:00.0
2022-05-08 22:40:14.697534: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudart.so.10.0'; dlerror: libcudart.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/extras/CUPTI/lib64:/usr/local/nccl-2.1:/usr/local/cuda-9.0/lib64:/lib/x86_64-linux-gnu:/home/h2amer/anaconda3/lib/::/usr/local/TensorRT-4.0.1.6/lib
2022-05-08 22:40:14.697591: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcublas.so.10.0'; dlerror: libcublas.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/extras/CUPTI/lib64:/usr/local/nccl-2.1:/usr/local/cuda-9.0/lib64:/lib/x86_64-linux-gnu:/home/h2amer/anaconda3/lib/::/usr/local/TensorRT-4.0.1.6/lib
2022-05-08 22:40:14.697645: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcufft.so.10.0'; dlerror: libcufft.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/extras/CUPTI/lib64:/usr/local/nccl-2.1:/usr/local/cuda-9.0/lib64:/lib/x86_64-linux-gnu:/home/h2amer/anaconda3/lib/::/usr/local/TensorRT-4.0.1.6/lib
2022-05-08 22:40:14.697704: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcurand.so.10.0'; dlerror: libcurand.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/extras/CUPTI/lib64:/usr/local/nccl-2.1:/usr/local/cuda-9.0/lib64:/lib/x86_64-linux-gnu:/home/h2amer/anaconda3/lib/::/usr/local/TensorRT-4.0.1.6/lib
2022-05-08 22:40:14.697758: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcusolver.so.10.0'; dlerror: libcusolver.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/extras/CUPTI/lib64:/usr/local/nccl-2.1:/usr/local/cuda-9.0/lib64:/lib/x86_64-linux-gnu:/home/h2amer/anaconda3/lib/::/usr/local/TensorRT-4.0.1.6/lib
2022-05-08 22:40:14.697809: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcusparse.so.10.0'; dlerror: libcusparse.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/extras/CUPTI/lib64:/usr/local/nccl-2.1:/usr/local/cuda-9.0/lib64:/lib/x86_64-linux-gnu:/home/h2amer/anaconda3/lib/::/usr/local/TensorRT-4.0.1.6/lib
2022-05-08 22:40:14.697860: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudnn.so.7'; dlerror: libcudnn.so.7: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/extras/CUPTI/lib64:/usr/local/nccl-2.1:/usr/local/cuda-9.0/lib64:/lib/x86_64-linux-gnu:/home/h2amer/anaconda3/lib/::/usr/local/TensorRT-4.0.1.6/lib
2022-05-08 22:40:14.697868: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1641] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
